Country,Year,Variable,Unit,Value
Ecuador,2012,Carbon Intensity,tonne CO2-eq per Megajoule,70.76583338
Ecuador,2017,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.284889948
Ecuador,2017,Fossil Fuel Consumption,Exajoules,0.501122434
Ecuador,2017,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,3.865091187
Ecuador,2017,Primary Energy Consumption per Capita,Gigajoules per capita,41.9695171
Ecuador,2017,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,45.62492661
Ecuador,2017,Carbon Intensity,tonne CO2-eq per Megajoule,65.10752944
Ecuador,2022,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.301344391
Ecuador,2022,Fossil Fuel Consumption,Exajoules,0.550107554
Ecuador,2022,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,4.334027675
Ecuador,2022,Primary Energy Consumption per Capita,Gigajoules per capita,43.74091128
Ecuador,2022,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,49.08672379
Ecuador,2022,Carbon Intensity,tonne CO2-eq per Megajoule,62.34183598
Egypt,1990,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.075208657
Egypt,1990,Fossil Fuel Consumption,Exajoules,1.302813219
Egypt,1990,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,3.878901191
Egypt,1990,Primary Energy Consumption per Capita,Gigajoules per capita,24.62245244
Egypt,1990,Carbon Intensity,tonne CO2-eq per Megajoule,80.34518657
Egypt,1990,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,113.1874471
Egypt,2008,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.054142363
Egypt,2008,Fossil Fuel Consumption,Exajoules,2.83248163
Egypt,2008,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,3.544740023
Egypt,2008,Primary Energy Consumption per Capita,Gigajoules per capita,35.71620337
Egypt,2008,Carbon Intensity,tonne CO2-eq per Megajoule,69.32793389
Egypt,2008,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,207.6106292
Egypt,2012,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.041802895
Egypt,2012,Fossil Fuel Consumption,Exajoules,3.364015222
Egypt,2012,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,3.650125944
Egypt,2012,Primary Energy Consumption per Capita,Gigajoules per capita,38.47831377
Egypt,2012,Carbon Intensity,tonne CO2-eq per Megajoule,69.55749779
Egypt,2012,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,244.2007811
Egypt,2017,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.038699905
Egypt,2017,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,3.277374719
Egypt,2017,Fossil Fuel Consumption,Exajoules,3.688747482
Egypt,2017,Primary Energy Consumption per Capita,Gigajoules per capita,37.69792503
Egypt,2017,Carbon Intensity,tonne CO2-eq per Megajoule,70.28860261
Egypt,2017,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,269.7148449
Egypt,2022,Other Renewables,Share of Generation Mix,0
Egypt,2022,Nuclear,Share of Generation Mix,0
Egypt,2022,Coal ,Share of Generation Mix,0
Egypt,2022,Other non-Renewable,Share of Generation Mix,0
Egypt,2022,Solar,Share of Generation Mix,0.025021219
Egypt,2022,Wind,Share of Generation Mix,0.02560852
Egypt,2022,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.056517806
Egypt,2022,Hydro,Share of Generation Mix,0.068689081
Egypt,2022,Oil,Share of Generation Mix,0.087594564
Egypt,2022,Gas,Share of Generation Mix,0.793086616
Egypt,2022,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,2.708260527
Egypt,2022,Fossil Fuel Consumption,Exajoules,3.754762811
Egypt,2022,Primary Energy Consumption per Capita,Gigajoules per capita,35.85622341
Egypt,2022,Carbon Intensity,tonne CO2-eq per Megajoule,71.4370108
Egypt,2022,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,284.2968667
Estonia,1990,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0
Estonia,1990,Fossil Fuel Consumption,Exajoules,0.459253809
Estonia,1990,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,18.74890672
Estonia,1990,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,41.59315958
Estonia,1990,Carbon Intensity,tonne CO2-eq per Megajoule,90.56682551
Estonia,1990,Primary Energy Consumption per Capita,Gigajoules per capita,292.3928256
Estonia,2008,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.00915151
Estonia,2008,Fossil Fuel Consumption,Exajoules,0.242038885
Estonia,2008,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,6.571095502
Estonia,2008,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,22.16674872
Estonia,2008,Carbon Intensity,tonne CO2-eq per Megajoule,90.74529289
Estonia,2008,Primary Energy Consumption per Capita,Gigajoules per capita,182.7018358
Estonia,2012,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.061865493
Estonia,2012,Fossil Fuel Consumption,Exajoules,0.248172149
Estonia,2012,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,7.348540851
Estonia,2012,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,23.30877161
Estonia,2012,Carbon Intensity,tonne CO2-eq per Megajoule,88.11126901
Estonia,2012,Primary Energy Consumption per Capita,Gigajoules per capita,200.0011473
Estonia,2017,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.071341364
Estonia,2017,Fossil Fuel Consumption,Exajoules,0.262387286
Estonia,2017,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,6.770668289
Estonia,2017,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,24.90028652
Estonia,2017,Carbon Intensity,tonne CO2-eq per Megajoule,88.12875967
Estonia,2017,Primary Energy Consumption per Capita,Gigajoules per capita,214.4469683
Estonia,2022,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.152650999
Estonia,2022,Fossil Fuel Consumption,Exajoules,0.188116845
Estonia,2022,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,4.610907296
Estonia,2022,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,17.17058763
Estonia,2022,Carbon Intensity,tonne CO2-eq per Megajoule,77.34278286
Estonia,2022,Primary Energy Consumption per Capita,Gigajoules per capita,167.4177628
Finland,1990,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.15025664
Finland,1990,Fossil Fuel Consumption,Exajoules,0.792550595
Finland,1990,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,7.512170218
Finland,1990,Primary Energy Consumption per Capita,Gigajoules per capita,233.3672194
Finland,2008,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.224970092
Finland,2008,Fossil Fuel Consumption,Exajoules,0.805278039
Finland,2008,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,5.422673759
Finland,2008,Primary Energy Consumption per Capita,Gigajoules per capita,249.6699689
Finland,2012,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.251051147
Finland,2012,Fossil Fuel Consumption,Exajoules,0.700214231
Finland,2012,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,5.223714197
Finland,2012,Primary Energy Consumption per Capita,Gigajoules per capita,226.3915223
Finland,2017,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.287584853
Finland,2017,Fossil Fuel Consumption,Exajoules,0.63256549
Finland,2017,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,4.766689945
Finland,2017,Primary Energy Consumption per Capita,Gigajoules per capita,213.8611781
Finland,2022,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.384974552
Finland,2022,Fossil Fuel Consumption,Exajoules,0.496048162
Finland,2022,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,4.538385108
Finland,2022,Primary Energy Consumption per Capita,Gigajoules per capita,212.2781356
France,1990,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.062226414
France,1990,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,5.211090201
France,1990,Fossil Fuel Consumption,Exajoules,5.764517791
France,1990,Carbon Intensity,tonne CO2-eq per Megajoule,39.73528048
France,1990,Primary Energy Consumption per Capita,Gigajoules per capita,169.611414
France,1990,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,380.1979409
France,2008,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.076322675
France,2008,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,4.318633498
France,2008,Fossil Fuel Consumption,Exajoules,5.982178252
France,2008,Carbon Intensity,tonne CO2-eq per Megajoule,34.32278971
France,2008,Primary Energy Consumption per Capita,Gigajoules per capita,179.7587285
France,2008,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,380.8075798
France,2012,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.090780911
France,2012,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,3.975637813
France,2012,Fossil Fuel Consumption,Exajoules,5.401122859
France,2012,Carbon Intensity,tonne CO2-eq per Megajoule,33.26543278
France,2012,Primary Energy Consumption per Capita,Gigajoules per capita,164.4521345
France,2012,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,345.0366862
France,2017,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.102454936
France,2017,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,3.552102009
France,2017,Fossil Fuel Consumption,Exajoules,5.173860719
France,2017,Carbon Intensity,tonne CO2-eq per Megajoule,33.15318678
France,2017,Primary Energy Consumption per Capita,Gigajoules per capita,153.4802125
France,2017,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,326.3880828
France,2022,Oil,Share of Generation Mix,0.004998654
France,2022,Coal ,Share of Generation Mix,0.006589135
France,2022,Other non-Renewable,Share of Generation Mix,0.017355652
France,2022,Other Renewables,Share of Generation Mix,0.021013406
France,2022,Solar,Share of Generation Mix,0.043044119
France,2022,Wind,Share of Generation Mix,0.081268491
France,2022,Hydro,Share of Generation Mix,0.095334596
France,2022,Gas,Share of Generation Mix,0.100200288
France,2022,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.146196412
France,2022,Nuclear,Share of Generation Mix,0.630195659
France,2022,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,2.893761091
France,2022,Fossil Fuel Consumption,Exajoules,4.506930159
France,2022,Carbon Intensity,tonne CO2-eq per Megajoule,33.13714615
France,2022,Primary Energy Consumption per Capita,Gigajoules per capita,129.7864575
France,2022,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,277.943152
Germany,1990,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.013369405
Germany,1990,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,5.557564209
Germany,1990,Fossil Fuel Consumption,Exajoules,13.33392246
Germany,1990,Carbon Intensity,tonne CO2-eq per Megajoule,68.08562997
Germany,1990,Primary Energy Consumption per Capita,Gigajoules per capita,190.1659579
Germany,1990,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,1027.651093
Germany,2008,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.078176279
Germany,2008,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,3.891660599
Germany,2008,Fossil Fuel Consumption,Exajoules,11.61318199
Germany,2008,Carbon Intensity,tonne CO2-eq per Megajoule,58.49394545
Germany,2008,Primary Energy Consumption per Capita,Gigajoules per capita,174.4055625
Germany,2008,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,828.5539055
Germany,2012,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.118996992
Germany,2012,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,3.622287636
Germany,2012,Fossil Fuel Consumption,Exajoules,10.98923047
Germany,2012,Carbon Intensity,tonne CO2-eq per Megajoule,58.40869116
Germany,2012,Primary Energy Consumption per Capita,Gigajoules per capita,166.0776169
Germany,2012,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,791.0226606
Germany,2017,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.162459443
Germany,2017,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,3.424799156
Germany,2017,Fossil Fuel Consumption,Exajoules,11.03528635
Germany,2017,Carbon Intensity,tonne CO2-eq per Megajoule,55.59117303
Germany,2017,Primary Energy Consumption per Capita,Gigajoules per capita,169.6064168
Germany,2017,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,779.0337972
Germany,2022,Oil,Share of Generation Mix,0.007621687
Germany,2022,Hydro,Share of Generation Mix,0.030313528
Germany,2022,Other non-Renewable,Share of Generation Mix,0.041226399
Germany,2022,Nuclear,Share of Generation Mix,0.060107397
Germany,2022,Other Renewables,Share of Generation Mix,0.087347999
Germany,2022,Solar,Share of Generation Mix,0.10529534
Germany,2022,Gas,Share of Generation Mix,0.13822969
Germany,2022,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.212578395
Germany,2022,Wind,Share of Generation Mix,0.217022345
Germany,2022,Coal ,Share of Generation Mix,0.312835614
Germany,2022,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,2.941002766
Germany,2022,Fossil Fuel Consumption,Exajoules,9.371684535
Germany,2022,Carbon Intensity,tonne CO2-eq per Megajoule,53.04275493
Germany,2022,Primary Energy Consumption per Capita,Gigajoules per capita,147.5189587
Germany,2022,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,652.3533458
Greece,1990,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.018226943
Greece,1990,Fossil Fuel Consumption,Exajoules,1.015472314
Greece,1990,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,4.407892673
Greece,1990,Carbon Intensity,tonne CO2-eq per Megajoule,86.58572993
Greece,1990,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,89.55777597
Greece,1990,Primary Energy Consumption per Capita,Gigajoules per capita,100.3979123
Greece,2008,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.041339061
Greece,2008,Fossil Fuel Consumption,Exajoules,1.420453946
Greece,2008,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,3.772218478
Greece,2008,Carbon Intensity,tonne CO2-eq per Megajoule,78.95241131
Greece,2008,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,116.9842847
Greece,2008,Primary Energy Consumption per Capita,Gigajoules per capita,133.8050031
Greece,2012,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.08401619
Greece,2012,Fossil Fuel Consumption,Exajoules,1.15183791
Greece,2012,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,4.245427696
Greece,2012,Carbon Intensity,tonne CO2-eq per Megajoule,75.1263394
Greece,2012,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,94.47040963
Greece,2012,Primary Energy Consumption per Capita,Gigajoules per capita,114.6962032
Greece,2017,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.12053656
Greece,2017,Fossil Fuel Consumption,Exajoules,1.020034591
Greece,2017,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,3.981209494
Greece,2017,Carbon Intensity,tonne CO2-eq per Megajoule,68.95227181
Greece,2017,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,79.97342375
Greece,2017,Primary Energy Consumption per Capita,Gigajoules per capita,108.47481
Greece,2022,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.198917352
Greece,2022,Fossil Fuel Consumption,Exajoules,0.910765378
Greece,2022,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,3.647036753
Greece,2022,Carbon Intensity,tonne CO2-eq per Megajoule,58.36510283
Greece,2022,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,66.35634298
Greece,2022,Primary Energy Consumption per Capita,Gigajoules per capita,109.4772552
Hungary,1990,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.001796139
Hungary,1990,Fossil Fuel Consumption,Exajoules,1.021366432
Hungary,1990,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,6.175700473
Hungary,1990,Carbon Intensity,tonne CO2-eq per Megajoule,65.20571495
Hungary,1990,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,75.88116433
Hungary,1990,Primary Energy Consumption per Capita,Gigajoules per capita,112.1550364
Hungary,2008,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.031521368
Hungary,2008,Fossil Fuel Consumption,Exajoules,0.880831605
Hungary,2008,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,4.19349926
Hungary,2008,Carbon Intensity,tonne CO2-eq per Megajoule,53.32120755
Hungary,2008,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,56.4152992
Hungary,2008,Primary Energy Consumption per Capita,Gigajoules per capita,105.5545823
Hungary,2012,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.038991418
Hungary,2012,Fossil Fuel Consumption,Exajoules,0.719174936
Hungary,2012,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,3.769029319
Hungary,2012,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,46.48555975
Hungary,2012,Carbon Intensity,tonne CO2-eq per Megajoule,51.42108325
Hungary,2012,Primary Energy Consumption per Capita,Gigajoules per capita,91.11126195
Hungary,2017,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.045672146
Hungary,2017,Fossil Fuel Consumption,Exajoules,0.777185253
Hungary,2017,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,3.446247972
Hungary,2017,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,48.75915659
Hungary,2017,Carbon Intensity,tonne CO2-eq per Megajoule,50.29535606
Hungary,2017,Primary Energy Consumption per Capita,Gigajoules per capita,99.03588501
Hungary,2022,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.091176815
Hungary,2022,Fossil Fuel Consumption,Exajoules,0.72700215
Hungary,2022,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,2.872023928
Hungary,2022,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,44.84974808
Hungary,2022,Carbon Intensity,tonne CO2-eq per Megajoule,46.88259727
Hungary,2022,Primary Energy Consumption per Capita,Gigajoules per capita,95.97772822
Iceland,1990,Fossil Fuel Consumption,Exajoules,0.030970355
Iceland,1990,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.603336268
Iceland,1990,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,9.276720253
Iceland,1990,Primary Energy Consumption per Capita,Gigajoules per capita,306.1619102
Iceland,2008,Fossil Fuel Consumption,Exajoules,0.038304206
Iceland,2008,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.811516172
Iceland,2008,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,12.79895918
Iceland,2008,Primary Energy Consumption per Capita,Gigajoules per capita,639.6385748
Iceland,2012,Fossil Fuel Consumption,Exajoules,0.033708079
Iceland,2012,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.835436485
Iceland,2012,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,13.96925252
Iceland,2012,Primary Energy Consumption per Capita,Gigajoules per capita,638.151546
Iceland,2017,Fossil Fuel Consumption,Exajoules,0.048378223
Iceland,2017,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.790827762
Iceland,2017,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,12.82537094
Iceland,2017,Primary Energy Consumption per Capita,Gigajoules per capita,673.0576505
Iceland,2022,Fossil Fuel Consumption,Exajoules,0.035372999
Iceland,2022,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.841144104
Iceland,2022,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,11.13598577
Iceland,2022,Primary Energy Consumption per Capita,Gigajoules per capita,597.1431897
India,1990,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.085428305
India,1990,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,5.126658157
India,1990,Fossil Fuel Consumption,Exajoules,7.509638398
India,1990,Primary Energy Consumption per Capita,Gigajoules per capita,9.51519762
India,1990,Carbon Intensity,tonne CO2-eq per Megajoule,82.46878195
India,1990,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,683.0496962
India,2008,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.07257066
India,2008,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,4.382696332
India,2008,Primary Energy Consumption per Capita,Gigajoules per capita,16.61881991
India,2008,Fossil Fuel Consumption,Exajoules,18.4512876
India,2008,Carbon Intensity,tonne CO2-eq per Megajoule,79.92242239
India,2008,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,1602.804893
India,2012,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.068295383
India,2012,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,4.260005379
India,2012,Primary Energy Consumption per Capita,Gigajoules per capita,19.61043041
India,2012,Fossil Fuel Consumption,Exajoules,22.97241575
India,2012,Carbon Intensity,tonne CO2-eq per Megajoule,80.41157336
India,2012,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,2009.745978
India,2017,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.076051965
India,2017,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,3.735650901
India,2017,Primary Energy Consumption per Capita,Gigajoules per capita,22.84687739
India,2017,Fossil Fuel Consumption,Exajoules,28.24218851
India,2017,Carbon Intensity,tonne CO2-eq per Megajoule,80.59815621
India,2017,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,2493.637853
India,2022,Other non-Renewable,Share of Generation Mix,0.000673797
India,2022,Oil,Share of Generation Mix,0.001362834
India,2022,Other Renewables,Share of Generation Mix,0.021929437
India,2022,Nuclear,Share of Generation Mix,0.02486269
India,2022,Gas,Share of Generation Mix,0.025319995
India,2022,Wind,Share of Generation Mix,0.037699389
India,2022,Solar,Share of Generation Mix,0.05121555
India,2022,Hydro,Share of Generation Mix,0.094147018
India,2022,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.10401817
India,2022,Coal ,Share of Generation Mix,0.74278929
India,2022,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,3.629478876
India,2022,Primary Energy Consumption per Capita,Gigajoules per capita,25.71626148
India,2022,Fossil Fuel Consumption,Exajoules,32.23746571
India,2022,Carbon Intensity,tonne CO2-eq per Megajoule,78.61939608
India,2022,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,2865.236394
Indonesia,1990,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.03731863
Indonesia,1990,Fossil Fuel Consumption,Exajoules,2.080011848
Indonesia,1990,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,2.725855003
Indonesia,1990,Primary Energy Consumption per Capita,Gigajoules per capita,11.81209264
Indonesia,1990,Carbon Intensity,tonne CO2-eq per Megajoule,85.84888805
Indonesia,1990,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,185.4888957
Indonesia,2008,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.03587229
Indonesia,2008,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,3.097245322
Indonesia,2008,Fossil Fuel Consumption,Exajoules,5.425054987
Indonesia,2008,Primary Energy Consumption per Capita,Gigajoules per capita,23.64876306
Indonesia,2008,Carbon Intensity,tonne CO2-eq per Megajoule,84.58357533
Indonesia,2008,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,475.943739
Indonesia,2012,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.035759462
Indonesia,2012,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,2.995384186
Indonesia,2012,Fossil Fuel Consumption,Exajoules,6.57909399
Indonesia,2012,Primary Energy Consumption per Capita,Gigajoules per capita,27.26804535
Indonesia,2012,Carbon Intensity,tonne CO2-eq per Megajoule,89.29190363
Indonesia,2012,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,609.2461406
Indonesia,2017,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.055506228
Indonesia,2017,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,2.407516308
Indonesia,2017,Fossil Fuel Consumption,Exajoules,6.644817052
Indonesia,2017,Primary Energy Consumption per Capita,Gigajoules per capita,26.59868329
Indonesia,2017,Carbon Intensity,tonne CO2-eq per Megajoule,87.71546884
Indonesia,2017,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,617.1064971
Indonesia,2022,Nuclear,Share of Generation Mix,0
Indonesia,2022,Solar,Share of Generation Mix,0.00089903
Indonesia,2022,Wind,Share of Generation Mix,0.00106781
Indonesia,2022,Other non-Renewable,Share of Generation Mix,0.001862668
Indonesia,2022,Oil,Share of Generation Mix,0.018263746
Indonesia,2022,Hydro,Share of Generation Mix,0.081870412
Indonesia,2022,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.102049545
Indonesia,2022,Other Renewables,Share of Generation Mix,0.111874065
Indonesia,2022,Gas,Share of Generation Mix,0.168348002
Indonesia,2022,Coal ,Share of Generation Mix,0.615814268
Indonesia,2022,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,2.833687953
Indonesia,2022,Fossil Fuel Consumption,Exajoules,8.776294579
Indonesia,2022,Primary Energy Consumption per Capita,Gigajoules per capita,35.47603734
Indonesia,2022,Carbon Intensity,tonne CO2-eq per Megajoule,85.90406156
Indonesia,2022,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,839.6001647
Iran,1990,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.026902496
Iran,1990,Fossil Fuel Consumption,Exajoules,2.842046958
Iran,1990,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,6.023160222
Iran,1990,Primary Energy Consumption per Capita,Gigajoules per capita,52.34681716
Iran,1990,Carbon Intensity,tonne CO2-eq per Megajoule,99.01294964
Iran,1990,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,289.1790917
Iran,2008,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.009233143
Iran,2008,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,8.190548595
Iran,2008,Fossil Fuel Consumption,Exajoules,8.286895557
Iran,2008,Carbon Intensity,tonne CO2-eq per Megajoule,81.25714927
Iran,2008,Primary Energy Consumption per Capita,Gigajoules per capita,114.0794587
Iran,2008,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,679.6447668
Iran,2012,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.013733143
Iran,2012,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,8.297781365
Iran,2012,Fossil Fuel Consumption,Exajoules,9.06866835
Iran,2012,Carbon Intensity,tonne CO2-eq per Megajoule,78.4246755
Iran,2012,Primary Energy Consumption per Capita,Gigajoules per capita,119.094102
Iran,2012,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,722.2039008
Iran,2017,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.015743664
