Country,Year,Variable,Unit,Value
Australia,1990,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.044593912
Australia,1990,Fossil Fuel Consumption,Exajoules,3.553168723
Australia,1990,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,7.348019342
Australia,1990,Carbon Intensity,tonne CO2-eq per Megajoule,80.32671343
Australia,1990,Primary Energy Consumption per Capita,Gigajoules per capita,218.1495457
Australia,1990,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,298.7361807
Australia,2008,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.036813263
Australia,2008,Fossil Fuel Consumption,Exajoules,5.31128487
Australia,2008,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,5.922356512
Australia,2008,Carbon Intensity,tonne CO2-eq per Megajoule,83.58480427
Australia,2008,Primary Energy Consumption per Capita,Gigajoules per capita,259.5216774
Australia,2008,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,460.910319
Australia,2012,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.056881932
Australia,2012,Fossil Fuel Consumption,Exajoules,5.215449247
Australia,2012,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,5.334368739
Australia,2012,Carbon Intensity,tonne CO2-eq per Megajoule,80.76369335
Australia,2012,Primary Energy Consumption per Capita,Gigajoules per capita,243.298925
Australia,2012,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,446.6237664
Australia,2017,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.067429633
Australia,2017,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,4.935115424
Australia,2017,Fossil Fuel Consumption,Exajoules,5.378219089
Australia,2017,Carbon Intensity,tonne CO2-eq per Megajoule,80.50342764
Australia,2017,Primary Energy Consumption per Capita,Gigajoules per capita,234.5267855
Australia,2017,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,464.2706725
Australia,2022,Nuclear,Share of Generation Mix,0
Australia,2022,Other non-Renewable,Share of Generation Mix,0.00179547
Australia,2022,Other Renewables,Share of Generation Mix,0.011864983
Australia,2022,Oil,Share of Generation Mix,0.018217769
Australia,2022,Hydro,Share of Generation Mix,0.062593765
Australia,2022,Wind,Share of Generation Mix,0.115705939
Australia,2022,Solar,Share of Generation Mix,0.141983981
Australia,2022,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.144547302
Australia,2022,Gas,Share of Generation Mix,0.169231626
Australia,2022,Coal ,Share of Generation Mix,0.478606468
Australia,2022,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,4.563171171
Australia,2022,Fossil Fuel Consumption,Exajoules,5.115844664
Australia,2022,Carbon Intensity,tonne CO2-eq per Megajoule,73.0692706
Australia,2022,Primary Energy Consumption per Capita,Gigajoules per capita,228.4518209
Australia,2022,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,436.9745271
Austria,1990,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.289087118
Austria,1990,Fossil Fuel Consumption,Exajoules,0.857789511
Austria,1990,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,4.455607295
Austria,1990,Carbon Intensity,tonne CO2-eq per Megajoule,50.6269576
Austria,1990,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,61.08663137
Austria,1990,Primary Energy Consumption per Capita,Gigajoules per capita,157.1357514
Austria,2008,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.313299111
Austria,2008,Fossil Fuel Consumption,Exajoules,1.038314819
Austria,2008,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,3.627437794
Austria,2008,Carbon Intensity,tonne CO2-eq per Megajoule,48.03236428
Austria,2008,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,72.62654876
Austria,2008,Primary Energy Consumption per Capita,Gigajoules per capita,181.7100848
